positionName,companyShortName,city,companySize,education,financeStage,industryField,salary,workYear,job_detail
数据分析师,蛋壳公寓,北京,2000人以上,本科,上市公司,消费生活,20k-25k,3-5年,"
岗位职责：
1、深入洞察行业、用户、业务背景，分析核心数据，制定科学目标；
2、建立系统的增长模型，驱动增长的持续化和规模化；
3、自上而下拆解目标并分析实现路径，通过深度数据分析发掘业务问题，实现对运营整体策略的制定和优化，制定核心指标抓手，高效推进目标达成；
4、监控数据异常，深入挖掘定位原因，制定优化对策，确保目标达成。

任职要求：
1、统招本科及以上学历，统计、运筹学、经济学、数学等相关专业，985/211学校优先；
2、熟练使用SQL、Excel等工具，了解python，精通回归分析、数据建模优先；
3、至少三年以上数据分析、运营分析或数据产品相关经验 ，有o2o、租房、平台相关经验优先；
4、具有结构化思维，对数据敏感，自驱型人格。
"
数据分析师,时趣social-touch,北京,500-2000人,本科,D轮及以上,移动互联网,15k-20k,3-5年,"
        岗位描述：
品牌舆情，社交分析，服务过品牌客户，发布周期性评估报告（美妆，个护，母婴，汽车，食品，保健品等大牌）
1.能够基于业务需求进行数据分析，形成业务数据洞察报告，从消费者行为与态度、产品及运营决策、精准营销等角度提供商业分析咨询报告。
2.利用数据分析手段，在海量数据中挖掘有价值的业务特征，在日常数据支持过程中结合业务需求对大数据系统进行优化，并给出有效的优化改进建议；
3.深入研究客户需求，结合标准化产品业务，进行相关行业的数据监测及分析；
4.深入洞察各行业发展态势，搭建行业分析模型，为业务部门提供数据策略支持。
任职要求：
1.统计学、数学、社会学、心理学、新闻学等相关专业本科或以上学历；
2.3年以上咨询、行业研究、数据分析等相关经验或从业背景；
3.对数据与业务有足够敏感性，逻辑思维缜密，撰写数据报告能力强；
4.具有良好的团队协调能力和团队合作精神，有一定抗压能力；
5.具备数据深层次挖掘的能力，善于发现数据的变化规律；
6.熟悉SQL/excel等数据分析和统计分析工具；
7.具有市场研究或一线互联网企业、咨询公司、市场研究公司数据分析或行业研究经验优先。
        "
数据分析专员,钛氪新媒体科技,北京,50-150人,本科,未融资,移动互联网,8k-16k,1-3年,"



职位职责：

1、负责iNews新闻大数据产品的数据分析、挖掘、监控、整理工作

2、配合数据采集团队进行网站、app、微信、微博等常规渠道的采集工作

3、协助完成产品、运营、研发的数据需求

4、对iNews产品的数据结果负责



任职要求：

1、2年及以上数据分析工作经验

2、本科及以上学历

3、熟练掌握Excel的使用，例如透视表、VLOOKUP等常用函数

4、加分项，熟悉SQL、Python、R等语言或其他数据分析软件

5、具有良好的沟通表达能力，逻辑思维能力

6、数学专业优先

"
数据分析师,小帮规划,北京,500-2000人,本科,B轮,"移动互联网,金融",25k-45k,3-5年,"
        这个职位需要做什么？
1. 业务数据分析体系优化：包含但不限于业务数据报表体系、薪酬绩效指标体系、活动&资源利用分析体系、激励分析体系等
2. 业务数据指标日常监测&分析：包含但不限于业务过程和项目运营指标（日、周、月报分析维度与框架）、业务结果指标（团队总业绩&分团队业绩达成、增速、环比等）
3. 业务项目专项分析：包含但不限于所在业务部门内部及协同部门业务专项

我们有什么要求？（资深、专家角色都有空缺）
1. 统招本科以上学历，3年以上工作经验，互联网、O2O行业优先
2. 有丰富的大数据处理&分析、市场调研、报告撰写的工作经验，熟练使用相关分析工具，熟悉常见的数据、产品、用户、运营分析方法论
3. 有极强的自我驱动力、较强的提炼能力/组织能力/沟通能力与情绪管理能力，乐于分享、合作

加分项：过往对销售团队，协助制定过业务策略，有项目管理经验
        "
数据分析师,美图公司,北京,2000人以上,本科,上市公司,硬件,25k-45k,3-5年,"
        岗位职责： 

1、关注市场动态，做行业深度分析，定期产出行业以及竞争对手动态；

2、业务数据的收集、整理、提取，根据相关数据进行分析，得出结论，为决策和管理做数据支持；

3、分析和跟踪业务实施过程，并且提出改进建议，帮助相关业务线制定策略，确保战略规划的贯彻执行； 

4、与业务部门沟通合作，将分析结果应用于实际业务场景，包括用户增长、留存转化路径优化、供给策略、商业收入等重点指标的拆解分析工作。 

任职要求： 

1、3年以上互联网商业分析、策略运营相关工作经验； 

2、具有良好的商业敏感度和数据分析技能，能够通过有效的分析方法解决复杂的商业问题； 

3、对数据敏感，逻辑严谨，具备出色的沟通协作和项目管理能力，具备解决复杂问题的能力； 

4、有医疗、医美背景者加分；
        "
数据分析师,e城e家,北京,2000人以上,本科,不需要融资,"移动互联网,消费生活",15k-25k,3-5年,"
        技能要求：
数据分析，SQL，数据挖掘，需求分析，商业数据分析，SPSS
职位职责：
1、作为业务线BP提供日常数据分析，包含用户需求挖掘、运营路径拆解、异常归因迭代等专题分析；
2、推动业务团队合理设置周期业绩指标，对业绩执行情况监控； 
3、搭建数据分析体系，重点指标观测体系，设计相应业务分析框架； 
4、根据业务需求分析挖掘数据，应用数据分析方法输出策略和数据解决方案。 
职位要求： 
1、统计、数学、经济学、管理学、计算机等专业本科及以上学历，有互联网相关数据分析工作经历； 
2、熟练掌握SQL，excel，熟悉常用数据统计和分析方法； 
3、熟练使用SPSS，R，Python中的任一数据分析工具； 
4、结构化思维，对数据敏感，自我驱动强，能通过数据主动发现问题并解决问题。
        "
数据分析专员,钛氪新媒体科技,北京,50-150人,本科,未融资,移动互联网,8k-16k,1-3年,"
        职位职责：
1、负责iNews新闻大数据产品数据分析，提出数据问题、分析数据内容、得到问题结论和解决途径。
2、配合数据采集团队进行网站、APP、微信、微博等渠道的数据采集、入库、质量跟踪、检测确认工作。
3、协助完成产品、运营、研发的数据需求，负责数据源后台管理系统的日常管理工作。
4、对iNews产品的数据结果负责。

任职要求：
1、2年及以上数据分析工作经验。
2、本科及以上学历。
3、熟练掌握常用BI软件、Excel等数据分析工具。
4、能较为熟练使用SQL查询语句，有一定Python或R语言应用经验。
5、有一定的数据挖掘算法使用经验者优先。
6、乐观积极心态，有很好的团队融入和主动配合能力，能承受较大量细微数据处理工作压力。
7、具有良好的沟通表达能力，逻辑思维能力。
8、数学与计算机相关专业优先。
        "
数据分析师,魔力耳朵,北京,500-2000人,本科,B轮,教育,8k-15k,1-3年,"
        【岗位职责】
1.基于对教学服务深入理解的基础上，搭建业务分析模型，统筹规划数据运营团队日常数据监控及分析；
2.向教学服务团队提供相关运营服务反馈数据及相应的数据分析处理，根据数据分析结果，优化业务发展流程；
3.根据业务需求形成固化的报表，负责业务核心指标的监控和跟踪分析，并对异常波动情况进行分析和问题定位；.
4.深入了解业务发展需求，灵活支持团队发展，并提供发展所需数据流程。
【任职要求】
1.统计学等相关专业本科及以上学历，2-3年数据分析相关工作经验，有教育类数据分析经验者优先；
2.对数字敏感，具有优秀的数据处理能力，具备良好的逻辑分析能力、严谨的推理能力和团队合作精神；
3.精通至少一种数据分析/挖掘软件操作，如SAS，SPSS等，熟悉应用常用统计分析方法，统计检验方法。
        "
高级数据分析师,用友,北京,500-2000人,本科,上市公司,"移动互联网,数据服务",18k-30k,3-5年,"
数据分析师?岗位职责:1、?负责政府数据产品和项目中的数据治理、数据分析、数据展示工作；2、?对行业业务进行需求分析，进行专项数据分析，并形成有效的分析报告；3、能够基于数据分析得到成果，为政府管理业务等提供数据支持和辅助决策。?任职资格:1、?统计学、数学、计算机相关专业，本科及以上学历；2、?对数据敏感，有较强逻辑思维能力，善于发现并解决问题；3、?熟练使用Word、PowerPoint、Excel等办公软件；4、?持有工信部颁发数据分析师证书(CPDA)，熟悉常用数据分析和挖掘工具者优先；5、?熟悉Python语言、机器学习算法；6、?强烈的责任心及抗压能力，工作细致有条理，善于学习，具有良好的团队合作精神。
"
数据分析师,跟谁学,北京,2000人以上,本科,上市公司,"移动互联网,教育",15k-25k,3-5年,"
        岗位职责：
1、 深度了解公司业务，通过业务数据表现发掘用户、运营、人效等问题并提供解决方案，并推动落地执行；
2、 高效拆解业务部门提出的问题、痛点及改善诉求，通过调研、分析、试验等方法满足业务部门需求，提升业务表现；
3、 定期关注、分析、学习竞品业务表现及运营策略，为业务部门提供有效支持；

任职资格：
1、本科以上学历，优先，数理统计类专业， excel、SQL等熟练使用；
2、2年相关经验，逻辑思维能力强，业务敏感度高，有良好的沟通表达能力和协调能力；
3、对于项目管理有自己的方法论，有完整的推动项目落地经验，可快速定位业务出现相关问题的本质原因是什么，直击重点；
4、抗压能力强，面对业务方或领导质疑不玻璃心，拥抱变化，不对自己设限。
        "
数据分析,最右,北京,500-2000人,本科,D轮及以上,文娱丨内容,15k-30k,1-3年,"
职责:
1.对最右产品运营数据进行分析、监测、统计，并形成指标体系；
2.制定业务核心指标，并进行分析维度拆解，通过对多维数据的深入分析，发现数据异常并定位原因，提出解决方案；
3.搭建业务转化漏斗，通过对用户行为深入分析，发现用户增长关键因素，联合产品、研发、运营等团队寻找提升用户成长方案，推动落地并评估效果；
4.对主要竞品的产品改进、数据波动保持密切关注，并进行细致对比分析，挖掘可借鉴方向。

要求:
1.统计学、数学、计算机等相关专业本科及以上学历；
2.较强的统计学基础，优秀的数据处理能力，敏锐的数据洞察力，良好的业务理解力；
3.熟练掌握Hive/SQL精通excel，掌握Python//R 尤佳，了解基本的数据分析方法与模型；
4.能独立完成从数据提取到模型构建，部门沟通到输出分析报告，提出并解决具体的业务问题。

加分：
1.有参与深度数据分析并有效指导产品运营的具体案例。
"
数据分析实习生,琥珀创想,北京,50-150人,本科,A轮,移动互联网,4k-5k,应届毕业生,"
工作内容：?
1、负责竞品相关数据监控，定期更新数据，形成相关报表；
2、负责对异常数据进行分析并产出相关报告；
3、协助分析师完成分析报告；
4、领导交代的其他事宜。

工作要求：
学历：2021届本科以上；?
专业：计算机、数学、统计学等相关专业；?
加分技能：掌握SQL语言、阅读英文文档、熟练使?Numers(Excel),熟 练掌握Python；?
能力：沟通理解能力、积极主动有责任感、积极面对挑战；
要求：每周坐班至少4天，能够实习6个月以上
? ? ?? ? ? ? ? ? ?? ? ?? ? ? ? ?? ?
"
数据分析师（教育产品）,跟谁学,北京,2000人以上,本科,上市公司,"移动互联网,教育",15k-30k,3-5年,"
        岗位职责：
1、 深度了解公司业务，通过业务数据表现发掘用户、运营、人效等问题并提供解决方案，并推动落地执行；
2、 高效拆解业务部门提出的问题、痛点及改善诉求，通过调研、分析、试验等方法满足业务部门需求，提升业务表现；
3、 定期关注、分析、学习竞品业务表现及运营策略，为业务部门提供有效支持.


任职资格：
1、本科以上学历，优先，数理统计类专业， excel、SQL等熟练使用；
2、2年相关经验，逻辑思维能力强，业务敏感度高，有良好的沟通表达能力和协调能力；
3、对于项目管理有自己的方法论，有完整的推动项目落地经验，可快速定位业务出现相关问题的本质原因是什么，直击重点；
4、抗压能力强，面对业务方或领导质疑不玻璃心，拥抱变化，不对自己设限。
        "
数据分析师,ZMT众盟数据,北京,500-2000人,大专,C轮,"移动互联网,数据服务",12k-15k,1-3年,"
        岗位职责：
 1、负责每日部门日常数据报表与分析指标；
? 2、负责每月代理商返点核算及问题排查；
? 3、负责月度财务数据汇总及相关指标分析；
? 4、负责体系相关的临时数据需求，月度数据分析报告产出；
? 5、负责监测和分析策略执行情况和效果，持续提出优化和完善风险管理的建议；
? 6、其他数据检测及验证工作。
任职要求：
? 1、大专以上学历，具备数据库系统基本理论知识，熟练excel、sql等工具；
? 2、2年以上数据分析相关工作经验；
? 3、思路清晰，逻辑分析及沟通能力强，工作效率高；
? 4、数据工作严谨，有互联网工作经验优先。

"
数据分析专家,伊澳科技,北京,2000人以上,本科,上市公司,"移动互联网,电商",35k-55k,5-10年,"
        职位描述
1.基于对业务深入理解的基础上，搭建业务分析模型，为业务提供数据决策和数据支持
2.负责业务数据系统规划建设，构建业务数据模型
3.深入了解业务发展需求，统筹规划业务团队的日常数据监控及分析，灵活支持产品以及业务模块的数据分析命题
4.针对异常数据进行预警、解读和挖掘，并提出解决方案

任职资格
1.大学本科学历，具有数据分析和建模相关理论知识
2.6年以上数据分析工作经验，具有数据提取，经营分析，数据体系构建，策略方面的成功实践和经验
3.能够有效沟通，与业务和产品团队有效配合，推动相关工作落地，有管理经验优先
4.能够主动学习，分析业界最新动态和技术，并应用到数据分析工作中
        "
高级数据分析师,探探,北京,150-500人,本科,D轮及以上,"移动互联网,社交",25k-45k,3-5年,"
职位职责：
1、整体负责探探下产品业务线的各项数据分析相关工作
2、协助构建新的数据分析团队及公司的数据驱动文化
3、对互联网某几项领域有深入的了解，能从行业趋势和产品形态等角度，给商业预测模型
4、全面分析各项影响产品提升与增长的因素，通过假设及检验指导用户增长和产品决策
5、与产品，运营，研发等配合。推进优化方案落地执行，带来业务的实际提升增长

职位要求：
1、计算机、数学、统计相关专业，本科及以上学历；
2、熟练掌握mysql、hdfs/hive/数据库使用，较强的数据库及SQL能力，熟悉中间表的开发。掌握Tableau可视化工具优先，熟悉常用的统计模型；
3、热爱数据分析，有严谨的逻辑思维能力及较强数据敏感性；
4、执行力强，有较强的自驱及驱动他人的能力，工作认真、负责，有良好的团队合作精神；党员优先。
"
数据分析师,海捷科技,北京,50-150人,不限,不需要融资,"移动互联网,数据服务",10k-20k,不限,"
        岗位职责：
1、根据业务需求，充分利用现有数据资源，进行数据提取、整理和挖掘；
2、建立合适的分析模型，对业务进行深入分析；
3、形成数据分析报告（ppt或word形式）；
4、熟练使用Tableau分析工具。

任职要求：
1、1年以上数据分析相关工作经验；
2、能够独立进行数据分析并行程报告，擅于发现不同的分析场景。
        "
数据分析师,盛业恒泰投资,北京,50-150人,不限,未融资,金融,8k-15k,不限,"
        一 、岗位职责
1，搜集行业相关信息，为相关需求者提供更准确的数据信息；
 2，丰富市场分析能力，做出每日分析计划，熟练掌握各种分析技术；
 3，对市场、行业、公司运营等提供数据分析计划，为战略决策提供支持；
 4，发表研究成果或分析评论，配合公司的推广及培训等工作。
 5，协助部门经理完善部门管理制度；
 6、结合多种数据源进行深度分析和挖掘年龄：
二、岗位要求、
1’20-45岁，五官端正，性格开朗，善于沟通； 
2、敢于迎接挑战、不怕辛苦、积极完成公司交赋的工作任务； 
3、对金融行业有浓厚的兴趣及意愿，有兴趣在金融行业有所作为。
4、为人诚实，具有责任心、上进心，较强的执行力。 
5、接受大学生在校实习、退伍军人与应届毕业生优先录取
        "
数据分析师,易观,北京,150-500人,本科,B轮,"移动互联网,数据服务",25k-50k,3-5年,"
岗位职责：
1.深入了解互联网业务，建立基于业务场景的数据分析需求，解决各类数据分析问题；
2.基于客户各业务部门的分析监控需求，搭建指标体系，并设计数据采集的埋点方案，实现数据可视化；
3.熟悉用户增长的框架和分析方法，针对拉新、留存、转化优化等进行深入的专题分析；
4. 充分利用各种易观方舟产品/服务， 与客户合作制定出最佳的数据分析策略；
5. 产出行业分析案例和埋点方案模版，并与团队成员共同制作数据分析培训内容，建立数据分析的流程、规范和方法；
6.基于数据分析，与销售、服务、产品、工程团队以及其他主要相关方开展跨职能协作，助力相关产品/服务取得成功。

任职要求
1.本科以上学历，经济学、统计学、计算机等和数据处理高度相关专业，3年及以上互联网公司数据分析工作经验；
2.具备杰出的定量分析能力，在推动业务/产品运营优化方面拥有丰富的经验；
3.具有优秀的商业敏感度和突出的分析能力，能够灵活利用数据，设计分析方案解决复杂的商业问题；
4.擅长与内部及外部合作团队交流沟通，具有优秀的报告讲解及沟通能力，能够独立的分析和解决问题；
5.有数据建模实践经验（2年以上相关工作经验）者优先，熟悉Hive，熟练使用SQL等数据库查询语言；
6.具有较强结构化思维、逻辑思维能力，对数据敏感，具备优秀的信息整合和分析能力，能够形成清晰的业务观点和前瞻判断；
7.熟悉易观方舟或其他数据分析产品者优先。
"
