来源,工单编号,工单状态,接单时间,派单时间,维修时间,修复时间,现场分类,电网分类
网络,1042,已核实,2021/12/27 22:10,2021/12/27 22:12,2021/12/27 22:19,2021/12/27 22:33,城市,法国电网
网络,1043,已核实,2021/12/27 22:08,2021/12/27 22:08,2021/12/27 22:19,2021/12/27 23:00,城市,荷兰电网
网络,1044,已核实,2021/12/27 22:06,2021/12/27 22:08,2021/12/27 22:19,2021/12/27 22:36,城市,法国电网
电话,1045,已核实,2021/12/27 22:02,2021/12/27 22:03,2021/12/27 22:14,2021/12/27 22:43,郊区,比利时电网
电话,1046,已核实,2021/12/27 22:02,2021/12/27 22:02,2021/12/27 22:24,2021/12/27 23:23,郊区,比利时电网
电话,1047,已核实,2021/12/27 22:01,2021/12/27 22:01,2021/12/27 22:19,2021/12/27 22:47,郊区,法国电网
网络,1048,已核实,2021/12/27 21:53,2021/12/27 21:53,2021/12/27 21:57,2021/12/27 22:39,城市,荷兰电网
电话,1049,已核实,2021/12/27 21:48,2021/12/27 21:48,2021/12/27 21:51,2021/12/27 22:20,郊区,西班牙电网
电话,1050,已核实,2021/12/27 21:46,2021/12/27 21:51,2021/12/27 22:00,2021/12/27 22:31,郊区,西班牙电网
网络,1051,已核实,2021/12/27 21:46,2021/12/27 21:48,2021/12/27 21:50,2021/12/27 22:02,城市,法国电网
电话,1052,未核实,2021/12/27 21:44,2021/12/27 21:45,2021/12/27 22:00,2021/12/27 22:37,郊区,西班牙电网
电话,1053,已核实,2021/12/27 21:42,2021/12/27 21:49,2021/12/27 21:50,2021/12/27 22:12,郊区,西班牙电网
电话,1054,已核实,2021/12/27 21:41,2021/12/27 21:45,2021/12/27 21:56,2021/12/27 22:09,城市,丹麦电网
电话,1055,已核实,2021/12/27 21:39,2021/12/27 21:40,2021/12/27 21:41,2021/12/27 22:03,郊区,德国电网
电话,1056,已核实,2021/12/27 21:37,2021/12/27 21:44,2021/12/27 22:10,2021/12/27 22:22,郊区,意大利电网
电话,1057,未核实,2021/12/27 21:34,2021/12/27 21:34,2021/12/27 21:43,2021/12/27 22:47,郊区,德国电网
网络,1058,已核实,2021/12/27 21:33,2021/12/27 21:33,2021/12/27 21:48,2021/12/27 22:00,城市,荷兰电网
电话,1059,已核实,2021/12/27 21:32,2021/12/27 21:32,2021/12/27 21:38,2021/12/27 22:10,城市,荷兰电网
电话,1060,已核实,2021/12/27 21:30,2021/12/27 21:30,2021/12/27 21:32,2021/12/27 22:10,城市,荷兰电网
电话,1061,已核实,2021/12/27 21:28,2021/12/27 21:28,2021/12/27 21:40,2021/12/27 22:37,城市,荷兰电网
网络,1062,已核实,2021/12/27 21:25,2021/12/27 21:30,2021/12/27 21:41,2021/12/27 21:44,城市,法国电网
电话,1063,未核实,2021/12/27 21:25,2021/12/27 21:25,2021/12/27 21:32,2021/12/27 21:41,郊区,法国电网
电话,1064,已核实,2021/12/27 21:25,2021/12/27 21:25,2021/12/27 21:39,2021/12/27 22:45,城市,德国电网
电话,1065,已核实,2021/12/27 21:24,2021/12/27 21:25,2021/12/27 21:39,2021/12/27 21:57,城市,荷兰电网
网络,1066,已核实,2021/12/27 21:24,2021/12/27 21:28,2021/12/27 21:39,2021/12/27 22:42,城市,德国电网
电话,1067,已核实,2021/12/27 21:24,2021/12/27 21:25,2021/12/27 21:36,2021/12/27 22:43,城市,德国电网
电话,1068,已核实,2021/12/27 21:22,2021/12/27 21:22,2021/12/27 21:39,2021/12/27 21:41,城市,法国电网
电话,1069,已核实,2021/12/27 21:22,2021/12/27 21:22,2021/12/27 21:40,2021/12/27 22:10,郊区,荷兰电网
网络,1070,已核实,2021/12/27 21:19,2021/12/27 21:19,2021/12/27 21:37,2021/12/27 22:07,城市,荷兰电网
网络,1071,已核实,2021/12/27 21:19,2021/12/27 21:21,2021/12/27 21:29,2021/12/27 21:41,城市,法国电网
电话,1072,已核实,2021/12/27 21:16,2021/12/27 21:24,2021/12/27 21:38,2021/12/27 21:52,郊区,荷兰电网
电话,1073,已核实,2021/12/27 21:16,2021/12/27 21:16,2021/12/27 21:28,2021/12/27 21:49,城市,荷兰电网
电话,1074,已核实,2021/12/27 21:13,2021/12/27 21:13,2021/12/27 21:34,2021/12/27 22:17,郊区,比利时电网
电话,1075,未核实,2021/12/27 21:11,2021/12/27 21:11,2021/12/27 21:17,2021/12/27 21:39,城市,荷兰电网
电话,1076,已核实,2021/12/27 21:08,2021/12/27 21:13,2021/12/27 21:35,2021/12/27 21:47,郊区,西班牙电网
网络,1077,已核实,2021/12/27 21:04,2021/12/27 21:07,2021/12/27 21:22,2021/12/27 21:34,城市,德国电网
电话,1078,已核实,2021/12/27 21:04,2021/12/27 21:21,2021/12/27 21:24,2021/12/27 21:26,郊区,西班牙电网
电话,1079,已核实,2021/12/27 21:00,2021/12/27 21:07,2021/12/27 21:12,2021/12/27 21:41,郊区,西班牙电网
电话,1080,已核实,2021/12/27 21:00,2021/12/27 21:00,2021/12/27 21:16,2021/12/27 22:15,城市,比利时电网
电话,1081,已核实,2021/12/27 21:00,2021/12/27 21:00,2021/12/27 21:10,2021/12/27 21:31,郊区,比利时电网
网络,1082,已核实,2021/12/27 20:59,2021/12/27 20:59,2021/12/27 21:27,2021/12/27 22:06,城市,荷兰电网
电话,1083,已核实,2021/12/27 20:57,2021/12/27 20:58,2021/12/27 21:26,2021/12/27 22:01,城市,比利时电网
电话,1084,已核实,2021/12/27 20:57,2021/12/27 21:20,2021/12/27 21:26,2021/12/27 21:27,郊区,荷兰电网
电话,1085,已核实,2021/12/27 20:56,2021/12/27 20:57,2021/12/27 21:08,2021/12/27 21:27,郊区,荷兰电网
电话,1086,已核实,2021/12/27 20:54,2021/12/27 21:02,2021/12/27 21:07,2021/12/27 22:05,城市,丹麦电网
电话,1087,已核实,2021/12/27 20:52,2021/12/27 20:52,2021/12/27 21:12,2021/12/27 22:09,城市,西班牙电网
电话,1088,已核实,2021/12/27 20:51,2021/12/27 20:52,2021/12/27 21:04,2021/12/27 21:38,郊区,德国电网
电话,1089,已核实,2021/12/27 20:50,2021/12/27 20:51,2021/12/27 21:12,2021/12/27 21:24,城市,比利时电网
电话,1090,已核实,2021/12/27 20:48,2021/12/27 20:49,2021/12/27 20:56,2021/12/27 21:42,城市,法国电网
电话,1091,已核实,2021/12/27 20:48,2021/12/27 20:51,2021/12/27 20:52,2021/12/27 21:59,郊区,德国电网
电话,1092,已核实,2021/12/27 20:45,2021/12/27 20:46,2021/12/27 21:04,2021/12/27 21:22,城市,比利时电网
网络,1093,已核实,2021/12/27 20:44,2021/12/27 20:44,2021/12/27 20:55,2021/12/27 21:54,城市,荷兰电网
电话,1094,已核实,2021/12/27 20:41,2021/12/27 20:42,2021/12/27 20:56,2021/12/27 21:34,郊区,德国电网
电话,1095,已核实,2021/12/27 20:41,2021/12/27 20:41,2021/12/27 20:52,2021/12/27 21:13,城市,法国电网
电话,1096,已核实,2021/12/27 20:41,2021/12/27 20:44,2021/12/27 21:02,2021/12/27 21:04,城市,丹麦电网
网络,1097,已核实,2021/12/27 20:41,2021/12/27 20:43,2021/12/27 20:50,2021/12/27 21:47,郊区,法国电网
网络,1098,已核实,2021/12/27 20:40,2021/12/27 20:40,2021/12/27 20:56,2021/12/27 21:24,城市,荷兰电网
电话,1099,已核实,2021/12/27 20:39,2021/12/27 20:40,2021/12/27 20:55,2021/12/27 21:30,郊区,德国电网
电话,1100,已核实,2021/12/27 20:39,2021/12/27 20:39,2021/12/27 20:55,2021/12/27 21:19,郊区,比利时电网
网络,1101,已核实,2021/12/27 20:38,2021/12/27 20:41,2021/12/27 20:50,2021/12/27 21:49,郊区,法国电网
网络,1102,已核实,2021/12/27 20:38,2021/12/27 20:39,2021/12/27 20:53,2021/12/27 21:14,城市,荷兰电网
电话,1103,已核实,2021/12/27 20:38,2021/12/27 20:38,2021/12/27 20:52,2021/12/27 21:23,城市,西班牙电网
电话,1104,已核实,2021/12/27 20:37,2021/12/27 20:38,2021/12/27 21:01,2021/12/27 21:02,郊区,比利时电网
电话,1105,已核实,2021/12/27 20:37,2021/12/27 20:37,2021/12/27 20:47,2021/12/27 22:19,郊区,法国电网
电话,1106,已核实,2021/12/27 20:36,2021/12/27 20:42,2021/12/27 21:09,2021/12/27 21:09,郊区,西班牙电网
网络,1107,已核实,2021/12/27 20:34,2021/12/27 20:34,2021/12/27 20:45,2021/12/27 20:55,城市,荷兰电网
电话,1108,已核实,2021/12/27 20:34,2021/12/27 20:34,2021/12/27 21:03,2021/12/27 22:01,城市,西班牙电网
电话,1109,已核实,2021/12/27 20:27,2021/12/27 20:28,2021/12/27 21:03,2021/12/27 21:07,郊区,法国电网
电话,1110,已核实,2021/12/27 20:27,2021/12/27 20:27,2021/12/27 20:56,2021/12/27 20:56,郊区,荷兰电网
网络,1111,已核实,2021/12/27 20:25,2021/12/27 20:28,2021/12/27 20:31,2021/12/27 20:32,城市,法国电网
电话,1112,已核实,2021/12/27 20:24,2021/12/27 20:24,2021/12/27 20:34,2021/12/27 20:40,郊区,法国电网
电话,1113,已核实,2021/12/27 20:24,2021/12/27 20:29,2021/12/27 20:52,2021/12/27 21:01,郊区,西班牙电网
电话,1114,已核实,2021/12/27 20:23,2021/12/27 20:23,2021/12/27 21:07,2021/12/27 21:08,郊区,法国电网
电话,1115,已核实,2021/12/27 20:21,2021/12/27 20:21,2021/12/27 20:35,2021/12/27 20:50,郊区,比利时电网
电话,1116,已核实,2021/12/27 20:21,2021/12/27 20:52,2021/12/27 20:57,2021/12/27 21:07,郊区,德国电网
电话,1117,已核实,2021/12/27 20:20,2021/12/27 20:20,2021/12/27 20:35,2021/12/27 21:23,城市,法国电网
电话,1118,已核实,2021/12/27 20:20,2021/12/27 20:28,2021/12/27 20:41,2021/12/27 20:45,城市,丹麦电网
电话,1119,已核实,2021/12/27 20:19,2021/12/27 20:19,2021/12/27 20:31,2021/12/27 20:37,郊区,比利时电网
电话,1120,已核实,2021/12/27 20:17,2021/12/27 20:18,2021/12/27 20:28,2021/12/27 21:51,城市,丹麦电网
电话,1121,已核实,2021/12/27 20:17,2021/12/27 20:17,2021/12/27 20:31,2021/12/27 21:04,郊区,法国电网
电话,1122,已核实,2021/12/27 20:16,2021/12/27 20:16,2021/12/27 20:21,2021/12/27 20:23,城市,荷兰电网
电话,1123,已核实,2021/12/27 20:16,2021/12/27 20:18,2021/12/27 20:19,2021/12/27 20:47,郊区,德国电网
电话,1124,已核实,2021/12/27 20:14,2021/12/27 20:15,2021/12/27 20:16,2021/12/27 20:52,城市,西班牙电网
电话,1125,已核实,2021/12/27 20:09,2021/12/27 20:10,2021/12/27 20:23,2021/12/27 21:39,郊区,比利时电网
电话,1126,已核实,2021/12/27 20:08,2021/12/27 20:09,2021/12/27 20:24,2021/12/27 21:00,郊区,法国电网
网络,1127,已核实,2021/12/27 20:08,2021/12/27 20:09,2021/12/27 20:19,2021/12/27 20:56,城市,荷兰电网
电话,1128,已核实,2021/12/27 20:05,2021/12/27 20:05,2021/12/27 20:14,2021/12/27 20:17,郊区,比利时电网
网络,1129,已核实,2021/12/27 20:04,2021/12/27 20:11,2021/12/27 20:16,2021/12/27 20:28,城市,法国电网
电话,1130,已核实,2021/12/27 20:04,2021/12/27 20:04,2021/12/27 20:10,2021/12/27 21:29,郊区,比利时电网
网络,1131,已核实,2021/12/27 20:03,2021/12/27 20:06,2021/12/27 20:19,2021/12/27 20:28,城市,法国电网
电话,1132,已核实,2021/12/27 20:02,2021/12/27 20:02,2021/12/27 20:16,2021/12/27 20:42,郊区,法国电网
电话,1133,已核实,2021/12/27 20:02,2021/12/27 20:02,2021/12/27 20:22,2021/12/27 20:32,郊区,西班牙电网
电话,1134,已核实,2021/12/27 20:01,2021/12/27 20:06,2021/12/27 20:49,2021/12/27 20:58,郊区,德国电网
电话,1135,已核实,2021/12/27 20:00,2021/12/27 20:00,2021/12/27 20:21,2021/12/27 20:26,郊区,西班牙电网
电话,1136,已核实,2021/12/27 19:59,2021/12/27 20:00,2021/12/27 20:35,2021/12/27 21:55,郊区,比利时电网
电话,1137,已核实,2021/12/27 19:59,2021/12/27 19:59,2021/12/27 20:11,2021/12/27 21:16,郊区,比利时电网
网络,1138,已核实,2021/12/27 19:58,2021/12/27 20:03,2021/12/27 20:05,2021/12/27 20:19,城市,法国电网
网络,1139,已核实,2021/12/27 19:57,2021/12/27 20:03,2021/12/27 20:10,2021/12/27 20:17,城市,法国电网
电话,1140,已核实,2021/12/27 19:52,2021/12/27 19:53,2021/12/27 20:15,2021/12/27 20:27,城市,比利时电网
网络,1141,已核实,2021/12/27 19:47,2021/12/27 19:59,2021/12/27 20:05,2021/12/27 20:23,城市,法国电网
电话,1142,已核实,2021/12/27 19:47,2021/12/27 19:57,2021/12/27 20:06,2021/12/27 20:16,郊区,西班牙电网
电话,1143,已核实,2021/12/27 19:47,2021/12/27 20:01,2021/12/27 20:05,2021/12/27 20:25,城市,丹麦电网
电话,1144,已核实,2021/12/27 19:46,2021/12/27 19:47,2021/12/27 20:06,2021/12/27 20:13,城市,德国电网
电话,1145,已核实,2021/12/27 19:45,2021/12/27 19:46,2021/12/27 19:50,2021/12/27 20:17,城市,荷兰电网
电话,1146,已核实,2021/12/27 19:45,2021/12/27 19:46,2021/12/27 20:00,2021/12/27 20:38,城市,比利时电网
电话,1147,已核实,2021/12/27 19:44,2021/12/27 19:45,2021/12/27 19:57,2021/12/27 20:16,城市,德国电网
网络,1148,已核实,2021/12/27 19:44,2021/12/27 19:49,2021/12/27 20:06,2021/12/27 20:15,城市,德国电网
电话,1149,已核实,2021/12/27 19:43,2021/12/27 19:44,2021/12/27 20:02,2021/12/27 20:07,城市,比利时电网
电话,1150,已核实,2021/12/27 19:43,2021/12/27 19:43,2021/12/27 19:55,2021/12/27 19:58,郊区,荷兰电网
电话,1151,已核实,2021/12/27 19:42,2021/12/27 19:42,2021/12/27 19:50,2021/12/27 20:10,城市,德国电网
电话,1152,已核实,2021/12/27 19:40,2021/12/27 19:40,2021/12/27 20:06,2021/12/27 21:23,郊区,法国电网
电话,1153,已核实,2021/12/27 19:38,2021/12/27 19:39,2021/12/27 19:52,2021/12/27 20:24,城市,荷兰电网
电话,1154,已核实,2021/12/27 19:36,2021/12/27 19:37,2021/12/27 19:51,2021/12/27 20:10,城市,德国电网
电话,1155,已核实,2021/12/27 19:36,2021/12/27 19:37,2021/12/27 19:38,2021/12/27 21:10,郊区,西班牙电网
电话,1156,已核实,2021/12/27 19:35,2021/12/27 19:36,2021/12/27 19:58,2021/12/27 20:16,城市,比利时电网
电话,1157,已核实,2021/12/27 19:35,2021/12/27 19:35,2021/12/27 19:51,2021/12/27 20:20,城市,德国电网
电话,1158,已核实,2021/12/27 19:35,2021/12/27 19:35,2021/12/27 19:48,2021/12/27 20:56,城市,法国电网
电话,1159,已核实,2021/12/27 19:34,2021/12/27 19:35,2021/12/27 19:50,2021/12/27 20:23,城市,德国电网
网络,1160,已核实,2021/12/27 19:34,2021/12/27 19:38,2021/12/27 19:51,2021/12/27 20:02,城市,德国电网
电话,1161,已核实,2021/12/27 19:32,2021/12/27 19:32,2021/12/27 19:37,2021/12/27 19:58,城市,法国电网
网络,1162,已核实,2021/12/27 19:31,2021/12/27 19:34,2021/12/27 19:40,2021/12/27 20:12,城市,法国电网
电话,1163,已核实,2021/12/27 19:30,2021/12/27 19:31,2021/12/27 19:58,2021/12/27 20:02,郊区,荷兰电网
电话,1164,已核实,2021/12/27 19:30,2021/12/27 19:30,2021/12/27 19:32,2021/12/27 20:28,城市,西班牙电网
电话,1165,已核实,2021/12/27 19:30,2021/12/27 19:31,2021/12/27 19:58,2021/12/27 21:50,城市,比利时电网
电话,1166,已核实,2021/12/27 19:29,2021/12/27 19:29,2021/12/27 19:42,2021/12/27 20:01,城市,德国电网
电话,1167,已核实,2021/12/27 19:29,2021/12/27 19:29,2021/12/27 19:42,2021/12/27 19:58,城市,德国电网
电话,1168,已核实,2021/12/27 19:26,2021/12/27 19:27,2021/12/27 19:54,2021/12/27 21:03,城市,比利时电网
电话,1169,已核实,2021/12/27 19:26,2021/12/27 19:37,2021/12/27 19:37,2021/12/27 19:58,郊区,德国电网
电话,1170,已核实,2021/12/27 19:24,2021/12/27 19:24,2021/12/27 19:31,2021/12/27 20:30,郊区,比利时电网
网络,1171,已核实,2021/12/27 19:22,2021/12/27 19:32,2021/12/27 19:50,2021/12/27 20:47,城市,法国电网
电话,1172,已核实,2021/12/27 19:22,2021/12/27 19:22,2021/12/27 19:33,2021/12/27 19:53,郊区,丹麦电网
电话,1173,已核实,2021/12/27 19:21,2021/12/27 19:22,2021/12/27 19:37,2021/12/27 20:16,郊区,法国电网
电话,1174,已核实,2021/12/27 19:21,2021/12/27 19:24,2021/12/27 20:07,2021/12/27 20:30,郊区,德国电网
电话,1175,已核实,2021/12/27 19:19,2021/12/27 19:19,2021/12/27 19:36,2021/12/27 20:16,城市,荷兰电网
网络,1176,已核实,2021/12/27 19:18,2021/12/27 19:22,2021/12/27 19:35,2021/12/27 19:42,城市,法国电网
电话,1177,已核实,2021/12/27 19:18,2021/12/27 19:33,2021/12/27 19:40,2021/12/27 19:53,郊区,西班牙电网
电话,1178,已核实,2021/12/27 19:16,2021/12/27 19:17,2021/12/27 19:33,2021/12/27 19:39,城市,比利时电网
电话,1179,已核实,2021/12/27 19:16,2021/12/27 19:18,2021/12/27 19:26,2021/12/27 20:05,城市,意大利电网
电话,1180,已核实,2021/12/27 19:15,2021/12/27 19:16,2021/12/27 19:25,2021/12/27 20:31,郊区,法国电网
电话,1181,已核实,2021/12/27 19:15,2021/12/27 19:16,2021/12/27 19:29,2021/12/27 20:40,城市,比利时电网
电话,1182,已核实,2021/12/27 19:15,2021/12/27 19:32,2021/12/27 19:38,2021/12/27 19:44,城市,德国电网
电话,1183,已核实,2021/12/27 19:13,2021/12/27 19:14,2021/12/27 19:33,2021/12/27 19:43,郊区,荷兰电网
电话,1184,已核实,2021/12/27 19:11,2021/12/27 19:11,2021/12/27 19:24,2021/12/27 19:45,城市,德国电网
电话,1185,已核实,2021/12/27 19:07,2021/12/27 19:16,2021/12/27 19:27,2021/12/27 19:41,城市,丹麦电网
电话,1186,已核实,2021/12/27 19:07,2021/12/27 19:07,2021/12/27 19:14,2021/12/27 21:50,郊区,比利时电网
电话,1187,已核实,2021/12/27 19:06,2021/12/27 19:10,2021/12/27 19:22,2021/12/27 20:06,城市,德国电网
电话,1188,已核实,2021/12/27 19:06,2021/12/27 19:06,2021/12/27 19:21,2021/12/27 19:56,城市,法国电网
电话,1189,已核实,2021/12/27 19:04,2021/12/27 19:04,2021/12/27 19:13,2021/12/27 21:52,郊区,比利时电网
网络,1190,已核实,2021/12/27 19:04,2021/12/27 19:04,2021/12/27 19:09,2021/12/27 19:53,城市,荷兰电网
电话,1191,已核实,2021/12/27 19:00,2021/12/27 19:01,2021/12/27 19:16,2021/12/27 19:43,城市,荷兰电网
电话,1192,已核实,2021/12/27 19:00,2021/12/27 19:01,2021/12/27 19:10,2021/12/27 19:30,郊区,丹麦电网
电话,1193,已核实,2021/12/27 18:59,2021/12/27 18:59,2021/12/27 19:10,2021/12/27 20:46,城市,德国电网
电话,1194,已核实,2021/12/27 18:59,2021/12/27 19:01,2021/12/27 19:05,2021/12/27 19:20,郊区,意大利电网
电话,1195,已核实,2021/12/27 18:56,2021/12/27 18:56,2021/12/27 19:08,2021/12/27 20:02,城市,德国电网
电话,1196,已核实,2021/12/27 18:54,2021/12/27 18:54,2021/12/27 19:22,2021/12/27 19:55,城市,比利时电网
电话,1197,已核实,2021/12/27 18:52,2021/12/27 18:53,2021/12/27 19:07,2021/12/27 19:25,郊区,荷兰电网
网络,1198,已核实,2021/12/27 18:50,2021/12/27 18:50,2021/12/27 18:53,2021/12/27 20:16,城市,荷兰电网
电话,1199,已核实,2021/12/27 18:49,2021/12/27 18:49,2021/12/27 19:03,2021/12/27 19:19,郊区,丹麦电网
电话,1200,已核实,2021/12/27 18:49,2021/12/27 18:50,2021/12/27 18:52,2021/12/27 19:51,郊区,德国电网
电话,1201,已核实,2021/12/27 18:49,2021/12/27 18:49,2021/12/27 19:04,2021/12/27 19:30,郊区,比利时电网
电话,1202,已核实,2021/12/27 18:48,2021/12/27 18:48,2021/12/27 19:13,2021/12/27 19:38,城市,比利时电网
电话,1203,已核实,2021/12/27 18:44,2021/12/27 18:45,2021/12/27 18:56,2021/12/27 18:57,城市,西班牙电网
电话,1204,已核实,2021/12/27 18:42,2021/12/27 18:43,2021/12/27 18:53,2021/12/27 19:28,城市,德国电网
电话,1205,已核实,2021/12/27 18:42,2021/12/27 18:42,2021/12/27 18:56,2021/12/27 18:57,城市,西班牙电网
电话,1206,已核实,2021/12/27 18:39,2021/12/27 18:39,2021/12/27 18:45,2021/12/27 18:52,郊区,荷兰电网
电话,1207,已核实,2021/12/27 18:39,2021/12/27 18:39,2021/12/27 18:52,2021/12/27 19:15,城市,德国电网
电话,1208,已核实,2021/12/27 18:36,2021/12/27 18:36,2021/12/27 18:47,2021/12/27 19:12,郊区,西班牙电网
电话,1209,已核实,2021/12/27 18:35,2021/12/27 18:36,2021/12/27 18:37,2021/12/27 19:25,郊区,德国电网
网络,1210,已核实,2021/12/27 18:34,2021/12/27 18:38,2021/12/27 18:48,2021/12/27 19:44,城市,法国电网
电话,1211,已核实,2021/12/27 18:33,2021/12/27 18:33,2021/12/27 18:46,2021/12/27 18:47,城市,法国电网
电话,1212,已核实,2021/12/27 18:32,2021/12/27 18:33,2021/12/27 18:49,2021/12/27 19:09,城市,比利时电网
电话,1213,已核实,2021/12/27 18:32,2021/12/27 18:32,2021/12/27 18:34,2021/12/27 19:24,郊区,德国电网
电话,1214,已核实,2021/12/27 18:30,2021/12/27 18:30,2021/12/27 18:48,2021/12/27 19:29,城市,荷兰电网
电话,1215,已核实,2021/12/27 18:30,2021/12/27 18:30,2021/12/27 18:44,2021/12/27 20:00,郊区,法国电网
电话,1216,已核实,2021/12/27 18:29,2021/12/27 18:30,2021/12/27 18:42,2021/12/27 18:42,城市,比利时电网
电话,1217,已核实,2021/12/27 18:29,2021/12/27 18:30,2021/12/27 18:43,2021/12/27 19:05,郊区,丹麦电网
电话,1218,已核实,2021/12/27 18:29,2021/12/27 18:30,2021/12/27 18:41,2021/12/27 19:35,郊区,比利时电网
电话,1219,已核实,2021/12/27 18:29,2021/12/27 18:33,2021/12/27 18:37,2021/12/27 19:00,郊区,荷兰电网
电话,1220,已核实,2021/12/27 18:28,2021/12/27 18:28,2021/12/27 18:42,2021/12/27 19:00,城市,丹麦电网
电话,1221,已核实,2021/12/27 18:26,2021/12/27 18:27,2021/12/27 18:43,2021/12/27 19:11,城市,比利时电网
电话,1222,已核实,2021/12/27 18:25,2021/12/27 18:25,2021/12/27 18:36,2021/12/27 19:10,郊区,比利时电网
电话,1223,已核实,2021/12/27 18:21,2021/12/27 18:22,2021/12/27 18:39,2021/12/27 18:40,城市,法国电网
电话,1224,已核实,2021/12/27 18:20,2021/12/27 18:20,2021/12/27 18:57,2021/12/27 19:13,郊区,荷兰电网
电话,1225,已核实,2021/12/27 18:20,2021/12/27 18:20,2021/12/27 18:46,2021/12/27 19:09,城市,德国电网
电话,1226,已核实,2021/12/27 18:20,2021/12/27 18:20,2021/12/27 18:43,2021/12/27 19:10,城市,比利时电网
电话,1227,已核实,2021/12/27 18:18,2021/12/27 18:18,2021/12/27 18:23,2021/12/27 18:55,郊区,比利时电网
网络,1228,已核实,2021/12/27 18:17,2021/12/27 18:18,2021/12/27 18:21,2021/12/27 20:24,城市,荷兰电网
网络,1229,已核实,2021/12/27 18:16,2021/12/27 18:21,2021/12/27 18:23,2021/12/27 18:35,城市,荷兰电网
网络,1230,已核实,2021/12/27 18:16,2021/12/27 18:21,2021/12/27 18:23,2021/12/27 18:28,城市,荷兰电网
电话,1231,已核实,2021/12/27 18:16,2021/12/27 18:16,2021/12/27 18:28,2021/12/27 18:42,郊区,西班牙电网
电话,1232,已核实,2021/12/27 18:15,2021/12/27 18:15,2021/12/27 18:33,2021/12/27 19:07,郊区,荷兰电网
电话,1233,已核实,2021/12/27 18:15,2021/12/27 18:15,2021/12/27 18:28,2021/12/27 18:47,城市,德国电网
电话,1234,已核实,2021/12/27 18:15,2021/12/27 18:15,2021/12/27 18:27,2021/12/27 18:40,郊区,比利时电网
电话,1235,已核实,2021/12/27 18:13,2021/12/27 18:13,2021/12/27 18:16,2021/12/27 18:23,郊区,法国电网
电话,1236,已核实,2021/12/27 18:13,2021/12/27 18:14,2021/12/27 18:26,2021/12/27 18:42,城市,德国电网
电话,1237,已核实,2021/12/27 18:12,2021/12/27 18:19,2021/12/27 18:20,2021/12/27 19:02,郊区,意大利电网
网络,1238,已核实,2021/12/27 18:12,2021/12/27 18:12,2021/12/27 18:19,2021/12/27 20:23,城市,荷兰电网
网络,1239,已核实,2021/12/27 18:12,2021/12/27 18:14,2021/12/27 18:28,2021/12/27 18:44,城市,法国电网
电话,1240,已核实,2021/12/27 18:12,2021/12/27 18:12,2021/12/27 18:40,2021/12/27 20:12,城市,西班牙电网
网络,1241,已核实,2021/12/27 18:11,2021/12/27 18:14,2021/12/27 18:26,2021/12/27 18:29,城市,法国电网
电话,1242,已核实,2021/12/27 18:10,2021/12/27 18:10,2021/12/27 18:39,2021/12/27 19:22,城市,比利时电网
